"msg_timestamp","mmsi","latitude","longitude","speed","course","heading","collection_type","ship_type","stratum_hour"
"2024-01-24T00:00:52+00:00",533130664,1.19669666666667,104.096991666667,0.2,360,511,"dynamic_classB","Other",0
"2024-01-24T00:00:48+00:00",368281230,18.4258233333333,-64.6153633333333,0.1,360,511,"dynamic_classB","Other",0
"2024-01-24T00:06:32+00:00",503308100,-20.6581766666667,116.698853333333,0.2,305.9,511,"dynamic_classB","Other",0
"2024-01-24T00:03:05+00:00",338331274,37.5902066666667,-122.316216666667,0,360,511,"dynamic_classB","Other",0
"2024-01-24T00:15:51+00:00",605176081,36.77698,3.06555166666667,0,352.8,171,"dynamic_classA","Reserved",0
"2024-01-24T00:00:31+00:00",512011130,-47.1802,167.964101666667,8,68.7,511,"satellite","Sailing Vessel",0
"2024-01-24T00:01:22+00:00",338438311,29.5462583333333,-95.04398,0,215,338,"dynamic_classB","Sailing Vessel",0
"2024-01-24T00:00:38+00:00",636021477,28.4358,49.16521,0,62.4,511,"dynamic_classA","Sailing Vessel",0
"2024-01-24T00:03:37+00:00",338129135,49.310705,-123.08966,0,49.4,511,"dynamic_classB","Sailing Vessel",0
"2024-01-24T00:02:44+00:00",319130600,9.36909833333333,-79.9498,0,294.6,65,"dynamic_classA","Sailing Vessel",0
"2024-01-24T00:00:25+00:00",671416100,25.4476333333333,55.2132166666667,0,315.6,511,"dynamic_classA","Tanker",0
"2024-01-24T00:00:15+00:00",671416100,25.4476333333333,55.2132166666667,0,315.6,511,"dynamic_classA","Tanker",0
"2024-01-24T01:03:19+00:00",412446025,30.59635,122.69123,9.4,54.8,511,"dynamic_classB","Fishing Vessel",1
"2024-01-24T01:05:52+00:00",412446025,30.60078,122.698773333333,9.3,55.1,511,"dynamic_classB","Fishing Vessel",1
"2024-01-24T01:05:46+00:00",412446025,30.60078,122.698773333333,9.3,55.1,511,"dynamic_classB","Fishing Vessel",1
"2024-01-24T01:08:53+00:00",412438979,29.8817116666667,122.375568333333,0.1,98.4,98,"dynamic_classB","Fishing Vessel",1
"2024-01-24T01:00:52+00:00",412438979,29.8817266666667,122.375555,0.1,236.8,236,"dynamic_classB","Fishing Vessel",1
"2024-01-24T01:08:44+00:00",412438979,29.8817116666667,122.375568333333,0.1,98.4,98,"dynamic_classB","Fishing Vessel",1
"2024-01-24T01:08:33+00:00",412438979,29.8817116666667,122.375568333333,0.1,98.4,98,"dynamic_classB","Fishing Vessel",1
"2024-01-24T01:06:46+00:00",565518000,1.15324666666667,103.99686,0.1,284.4,27,"dynamic_classA","High-Speed Craft",1
"2024-01-24T01:11:32+00:00",377126000,27.134715,49.754325,0.3,164,354,"dynamic_classA","High-Speed Craft",1
"2024-01-24T01:03:33+00:00",211887350,54.5118966666667,13.6444216666667,0,272,179,"dynamic_classA","High-Speed Craft",1
"2024-01-24T01:10:55+00:00",209375000,35.7910216666667,-5.80202333333333,0,209.6,80,"dynamic_classA","High-Speed Craft",1
"2024-01-24T01:06:46+00:00",412343889,22.202535,114.01033,8.4,49.4,511,"dynamic_classB","Other",1
"2024-01-24T01:01:14+00:00",271002316,41.0022316666667,28.9548133333333,0,0,511,"dynamic_classB","Other",1
"2024-01-24T01:10:08+00:00",271002342,40.9518916666667,29.0923316666667,0,0,511,"dynamic_classB","Other",1
"2024-01-24T01:11:35+00:00",412343889,22.209875,114.019885,8.9,62.9,511,"dynamic_classB","Other",1
"2024-01-24T01:04:30+00:00",367666420,26.7769,-80.0407666666667,0,214.8,175,"dynamic_classB","Other",1
"2024-01-24T01:10:25+00:00",518998361,1.294045,103.761336666667,0,360,511,"dynamic_classB","Other",1
"2024-01-24T01:10:06+00:00",271002342,40.9518916666667,29.0923316666667,0,0,511,"dynamic_classB","Other",1
"2024-01-24T01:11:08+00:00",271002467,40.951645,29.0914433333333,0,315.4,341,"dynamic_classA","Other",1
"2024-01-24T01:08:24+00:00",412000000,30.6838916666667,122.8227,0,44.2,511,"dynamic_classB","Other",1
"2024-01-24T01:10:21+00:00",338364492,33.6069083333333,-117.905986666667,0,360,511,"satellite","Other",1
"2024-01-24T01:09:18+00:00",403656001,26.8615116666667,49.9070666666667,0,262,205,"dynamic_classB","Other",1
"2024-01-24T01:11:05+00:00",271002467,40.951645,29.0914433333333,0,315.4,341,"dynamic_classA","Other",1
"2024-01-24T01:03:52+00:00",256001425,37.93086,23.68452,0,360,511,"dynamic_classB","Other",1
"2024-01-24T01:12:10+00:00",403656001,26.86151,49.9070633333333,0.1,215.1,205,"dynamic_classB","Other",1
"2024-01-24T01:06:22+00:00",257125250,63.4342233333333,10.39068,0,360,511,"dynamic_classB","Other",1
"2024-01-24T01:03:02+00:00",413907449,22.6024916666667,113.809816666667,0.5,243.4,511,"dynamic_classB","Other",1
"2024-01-24T01:06:13+00:00",403656001,26.8615333333333,49.90705,0,271.6,205,"dynamic_classB","Other",1
"2024-01-24T01:09:59+00:00",271002326,41.0021283333333,28.9548083333333,0,155.5,511,"dynamic_classB","Other",1
"2024-01-24T01:10:39+00:00",518998361,1.294045,103.761336666667,0,360,511,"dynamic_classB","Other",1
"2024-01-24T01:03:15+00:00",403656001,26.8615333333333,49.907065,0,268.5,205,"dynamic_classB","Other",1
"2024-01-24T01:09:38+00:00",338364492,33.606905,-117.905985,0,360,511,"satellite","Other",1
"2024-01-24T01:11:19+00:00",413866738,31.591445,121.258326666667,0,46.9,511,"dynamic_classB","Other",1
"2024-01-24T01:04:34+00:00",518998361,1.29404333333333,103.761328333333,0,360,511,"dynamic_classB","Other",1
"2024-01-24T01:11:38+00:00",271000906,41.0019533333333,28.9543266666667,0,0,511,"dynamic_classA","Other",1
"2024-01-24T01:09:13+00:00",271002467,40.9516383333333,29.0914316666667,0,315.4,341,"dynamic_classA","Other",1
"2024-01-24T01:11:50+00:00",271000906,41.0018316666667,28.954385,0,0,511,"dynamic_classB","Other",1
"2024-01-24T01:10:33+00:00",518998361,1.294045,103.761336666667,0,360,511,"dynamic_classB","Other",1
"2024-01-24T01:06:33+00:00",413907449,22.6024583333333,113.809856666667,0.3,225.9,511,"dynamic_classB","Other",1
"2024-01-24T01:06:20+00:00",403656001,26.8615333333333,49.90705,0,271.6,205,"dynamic_classB","Other",1
"2024-01-24T01:11:22+00:00",413866738,31.591445,121.258326666667,0,46.9,511,"dynamic_classB","Other",1
"2024-01-24T01:04:35+00:00",518998361,1.29404333333333,103.761328333333,0,360,511,"dynamic_classB","Other",1
"2024-01-24T01:00:05+00:00",657194500,3.16864,6.586825,0.8,360,511,"satellite","Other",1
